category,SYMBOL,Quarter,Change
0,APCL,Jun 2022 - Sep 2022,0.1879120879120879
0,ANSALHSG,Dec 2019 - Mar 2020,-0.4693877551020408
0,ANSALHSG,Jun 2019 - Sep 2019,0.9195402298850576
0,ANSALAPI,Jun 2019 - Sep 2019,0.3703703703703704
0,ANSALAPI,Mar 2019 - Jun 2019,-0.5502958579881657
0,ANURAS,Mar 2022 - Jun 2022,-0.0905224401701262
0,APARINDS,Sep 2021 - Dec 2021,-0.1499427426281133
0,APARINDS,Mar 2020 - Jun 2020,-0.1431334622823985
0,APARINDS,Jun 2019 - Sep 2019,-0.1245348334054521
0,APARINDS,Mar 2018 - Jun 2018,-0.2184640975880233
0,APLAPOLLO,Mar 2020 - Jun 2020,0.815313284821946
0,APLAPOLLO,Mar 2019 - Jun 2019,0.1505603941843922
0,APLAPOLLO,Sep 2018 - Dec 2018,-0.1371753569581991
0,APOLLOHOSP,Dec 2021 - Mar 2022,-0.183392766174223
0,APOLLOHOSP,Sep 2021 - Dec 2021,0.2279580254845272
0,APOLLOHOSP,Mar 2020 - Jun 2020,0.2741217391304347
0,APOLLO,Mar 2022 - Jun 2022,0.227950575202386
0,APOLSINHOT,Mar 2020 - Jun 2020,0.4734707301030474
0,APOLSINHOT,Dec 2018 - Mar 2019,-0.1060925476968484
0,APOLLOTYRE,Dec 2021 - Mar 2022,-0.2387397381850454
0,APOLLOTYRE,Mar 2021 - Jun 2021,0.0876242095754291
0,APOLLOTYRE,Mar 2020 - Jun 2020,0.4362745098039216
0,APOLLOTYRE,Dec 2019 - Mar 2020,-0.546021377672209
0,APOLLOTYRE,Dec 2018 - Mar 2019,0.12
0,APOLLOTYRE,Jun 2018 - Sep 2018,-0.3269890260631002
0,APTECHT,Mar 2022 - Jun 2022,-0.4112617924528302
0,APTECHT,Sep 2019 - Dec 2019,-0.6213888888888889
0,APTECHT,Mar 2019 - Jun 2019,0.4068731438268987
0,APTECHT,Mar 2018 - Jun 2018,-0.5064553990610329
0,ARIES,Dec 2021 - Mar 2022,-0.2442483454144342
0,ARIES,Dec 2019 - Mar 2020,-0.4940848990953374
0,ARIES,Sep 2019 - Dec 2019,0.1771561771561772
0,ARIES,Dec 2018 - Mar 2019,-0.1844716870986574
0,ARIES,Sep 2018 - Dec 2018,-0.2084870848708487
0,ARIES,Dec 2017 - Mar 2018,-0.2261351052048727
0,ARIHANTCAP,Mar 2022 - Jun 2022,-0.2210796915167094
0,ARIHANT,Sep 2019 - Dec 2019,-0.384012539184953
0,ARIHANT,Mar 2019 - Jun 2019,-0.5319148936170213
0,ARIHANTSUP,Mar 2020 - Jun 2020,-0.3345070422535211
0,ARIHANTSUP,Jun 2019 - Sep 2019,0.2951541850220265
