SYMBOL,Company Name,Company Code,Quarter,Result Date,Price on Result Date,High in next 90 days,Low in next 90 days,margin,ebitda,revenue,profit,Change
AMJLAND,amjland,PPP,Mar 2019 - Jun 2019,27-07-2019,16.8,19.7,15.45,-0.2525879917184264,0.0,0.20170454545454544,0.7777777777777777,0.17261904761904753
AMJLAND,amjland,PPP,Dec 2018 - Mar 2019,,16.65,19.7,15.85,-0.9647382920110192,-2.0,-0.5266903914590747,-14.874999999999998,0.18318318318318325
AMJLAND,amjland,PPP,Sep 2018 - Dec 2018,10-02-2018,25.4,33.25,22.95,-0.6281547952888392,-1.1895424836601307,-0.34498834498834485,-0.921259842519685,0.3090551181102363
AMJLAND,amjland,PPP,Jun 2018 - Sep 2018,20-10-2018,21.75,24.35,20.2,0.5039614192214951,0.34328358208955223,-0.32409012131715775,0.42622950819672134,0.11954022988505754
ARTEMISMED,artemismedicareservices,ARTEM54291,Jun 2022 - Sep 2022,09-11-2022,76.6,79.95,71.15,0.04695837780149408,0.14968696642003418,0.10791635548917111,0.05701254275940707,-0.07114882506527401
ARTEMISMED,artemismedicareservices,ARTEM54291,Mar 2022 - Jun 2022,11-08-2022,52.45,76.15,52.45,0.10862262038073905,0.20348058902275765,0.10644023201578655,-0.5973397823458285,0.451858913250715
ARTEMISMED,artemismedicareservices,ARTEM54291,Dec 2021 - Mar 2022,11-05-2022,41.6,55.9,37.85,-0.14447236180904516,-0.10336134453781516,0.03600347989024958,0.5185465556396669,0.34374999999999994
ARTEMISMED,artemismedicareservices,ARTEM54291,Sep 2021 - Dec 2021,04-02-2021,213.0,266.35,189.7,-0.21514818880351272,-0.1721249047981721,0.03477959041999319,-0.27201257861635214,0.25046948356807525
ARTEMISMED,artemismedicareservices,ARTEM54291,Jun 2021 - Sep 2021,26-10-2021,34.0,48.75,33.6,0.35411020776874436,0.4320987654320988,0.12046892980437275,0.5377008652657601,0.4338235294117647
ARTEMISMED,artemismedicareservices,ARTEM54291,Mar 2021 - Jun 2021,,327.4,412.8,32.15,-0.7902097902097902,-0.891304347826087,-0.0561779376890996,-2.3823529411764706,-0.9018020769700673
ARTEMISMED,artemismedicareservices,ARTEM54291,Jun 2020 - Sep 2020,05-11-2020,154.65,235.75,154.1,7.145205479452055,5.175074183976261,0.3205891909455215,393.3333333333333,0.5244099579696088
ARTEMISMED,artemismedicareservices,ARTEM54291,Mar 2020 - Jun 2020,03-08-2020,174.95,174.95,148.65,1.2987070887204637,1.6595593461265103,-1.2073967798501517,1.358538657604078,-0.1503286653329522
ARTEMISMED,artemismedicareservices,ARTEM54291,Dec 2019 - Mar 2020,22-05-2020,143.9,200.65,143.9,-0.20597014925373133,-0.2489224137931035,-0.03632555788257385,-0.3246445497630332,0.39437109103544127
ARTEMISMED,artemismedicareservices,ARTEM54291,Sep 2019 - Dec 2019,,229.8,229.8,124.55,-0.06064356435643567,-0.08886971527178597,-0.026759581881533125,0.03756708407871198,-0.4580069625761532
ANANDRATHI,anandrathiwealth,ARW,Jun 2022 - Sep 2022,13-10-2022,681.05,722.65,681.05,0.046630916297505244,0.07780634104541558,0.03270615904747897,0.0754365541327125,0.06108215255854934
ANANDRATHI,anandrathiwealth,ARW,Mar 2022 - Jun 2022,12-07-2022,652.4,678.55,629.25,0.02812423575446316,0.16911354766771977,0.14512575032292385,0.12868295139763283,0.040082771305947236
ANANDRATHI,anandrathiwealth,ARW,Dec 2021 - Mar 2022,12-04-2022,612.65,699.2,612.15,-0.02818319073980869,0.03399686870946104,0.0606168340591948,0.07398843930635844,0.141271525340733
ANANDRATHI,anandrathiwealth,ARW,Sep 2021 - Dec 2021,06-01-2022,634.7,634.7,551.4,0.0017131669114048037,0.039129428108358365,0.03746806698836213,0.049625468164794004,-0.13124310697967553
ANANTRAJ,anantraj,ARI,Jun 2022 - Sep 2022,18-10-2022,105.65,118.35,99.4,-0.22067183462532297,0.22674060382008626,0.3665447897623401,0.3476394849785407,0.12020823473734016
ANANTRAJ,anantraj,ARI,Mar 2022 - Jun 2022,,67.55,116.6,64.35,0.30313293818797626,0.05604249667994687,-0.3546646590124851,0.011278195488721898,0.7261287934863064
ANANTRAJ,anantraj,ARI,Dec 2021 - Mar 2022,14-05-2022,51.65,77.3,43.35,-0.5267314702308625,0.3114800225098481,0.5490459429418303,0.5242395437262357,0.49661181026137463
ANANTRAJ,anantraj,ARI,Sep 2021 - Dec 2021,12-02-2021,43.1,59.6,40.5,-0.12972542777556711,-0.0024519820187986216,0.11276573893396327,-0.30169830169830164,0.382830626450116
ANANTRAJ,anantraj,ARI,Jun 2021 - Sep 2021,12-11-2021,72.65,83.6,64.75,0.2039450510743219,0.42723196086424786,0.2802407686074777,0.6630851880276286,0.1507226428079833
ANANTRAJ,anantraj,ARI,Mar 2021 - Jun 2021,14-08-2021,62.7,78.65,57.1,0.21681415929203549,-0.4455516014234874,-0.8457703441621099,-0.5148063781321186,0.2543859649122807
ANANTRAJ,anantraj,ARI,Jun 2020 - Sep 2020,02-11-2020,18.6,41.0,17.85,1.4123268036311516,1.1959229898074746,0.524656235182551,47.24999999999999,1.204301075268817
ANANTRAJ,anantraj,ARI,Mar 2020 - Jun 2020,14-09-2020,29.45,36.25,17.85,5.589803012746234,12.341040462427747,-1.4703241895261845,1.8399999999999999,-0.3938879456706281
ANANTRAJ,anantraj,ARI,Dec 2019 - Mar 2020,,22.65,36.35,21.4,0.21989396617015908,-1.1554536187563709,-1.763577629719362,-1.877734877734878,0.6048565121412806
ANANTRAJ,anantraj,ARI,Sep 2019 - Dec 2019,14-02-2019,30.75,35.5,27.1,-0.46990291262135936,-0.5332229841570112,-0.04288427819988314,-0.6923076923076925,0.15447154471544716
