SYMBOL,SECTOR
EMIL,miscellaneous
ELECTCAST,castingsforgings
ELECTROSL,steelmediumsmall
ELECTHERM,engineering
ELGIEQUIP,compressors
ELGIRUBCO,tyres
ELNET,constructioncontractingcivil
ELPROINTL,electricequipment
EMAMILTD,personalcare
EMAMIPAP,paper
EMAMIREAL,constructioncontractingrealestate
EMBASSY,constructionrealestate
EMCO,electricequipment
EMKAY,financegeneral
EMKAYTOOLS,engineering
EMMBI,packaging
EDL,breweriesdistilleries
EMPEESUG,sugar
KRISHIVAL,miscellaneous
EMUDHRA,miscellaneous
ENDURANCE,auto23wheelers
ENGINERSIN,infrastructuregeneral
ENKTEXFOOD,textilesprocessing
ENIL,mediaentertainment
ENTEGRA,powergenerationdistribution
KIRLOSELEC,electricequipment
EON,electricequipment
EPL,packaging
PROINDIA,computerssoftwaremediumsmall
EQUITASBNK,bankprivate
EQUITAS,financegeneral
ERAINFRA,infrastructuregeneral
ERIS,pharmaceuticalsdrugs
EROSMEDIA,mediaentertainment
ESABINDIA,electrodesgraphite
ESCORTSFIN,financeleasinghirepurchase
ESCORTS,escortskubota
SHREEKRPET,textilesmanmade
ESSDEE,packaging
ESSAROIL,refineries
ESSARPORTS,infrastructuregeneral
ESSARSHPNG,shipping
ESSEN-RE,miscellaneous
ESSEN-RE1,miscellaneous
ESTER,packaging
ETHOSLTD,watchesaccessories
EUROCERA,ceramicsgranite
EIFFL,foodprocessing
EUROBOND,aluminiumaluminiumproducts
EUROMULTI,computershardware
EUROTEXIND,textilesspinningcottonblended
EVEREADY,drycells
EVERESTIND,cementproductsbuildingmaterials
EKC,packaging
EVERONN,computerssoftwaretraining
EXCELINDUS,chemicals
EXCELCROP,pesticidesagrochemicals
EXCEL,computerssoftwaremediumsmall
EXIDEIND,autoancillaries
EXPLEOSOL,computerssoftware
EXXARO,ceramicsmarblegranitesanitaryware
FAIRCHEMOR,specialitychemicals
FALCONTYRE,tyres
FARMAXIND,trading
FAZE3Q,textilesspinningcottonblended
FCSSOFT,computerssoftwaremediumsmall
FDC,pharmaceuticals
FEDDERELEC,consumergoodswhitegoods
FEDERALBNK,banksprivatesector
FMGOETZE,autoancillaries
FELIX,miscellaneous
FERROALLOY,miningminerals
FACT,fertilisers
FGPIND,glassglassproducts
