URL,companysector,companyname,companycode
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/triochemproducts/TP11,pharmaceuticals,triochemproducts,TP11
https://www.moneycontrol.com/india/stockpricequote/trading/tripexoverseas/TO01,trading,tripexoverseas,TO01
https://www.moneycontrol.com/india/stockpricequote/trishaktielect/trishaktielectronicsindustries/TEI02,trishaktielect,trishaktielectronicsindustries,TEI02
https://www.moneycontrol.com/india/stockpricequote/chemicals/tristarenterprises/TE06,chemicals,tristarenterprises,TE06
https://www.moneycontrol.com/india/stockpricequote/textilesreadymadeapparels/tritoncorp/TC16,textilesreadymadeapparels,tritoncorp,TC16
https://www.moneycontrol.com/india/stockpricequote/autoancillaries/tritonvalves/TV,autoancillaries,tritonvalves,TV
https://www.moneycontrol.com/india/stockpricequote/financegeneral/triumphintlfin/TIF01,financegeneral,triumphintlfin,TIF01
https://www.moneycontrol.com/india/stockpricequote/sugar/triveniengineeringindustries/TE10,sugar,triveniengineeringindustries,TE10
https://www.moneycontrol.com/india/stockpricequote/trivenienterpr/trivenienterprises/TE14,trivenienterpr,trivenienterprises,TE14
https://www.moneycontrol.com/india/stockpricequote/glassglassproducts/triveniglass/TG01,glassglassproducts,triveniglass,TG01
https://www.moneycontrol.com/india/stockpricequote/electricequipment/triveniturbine/TT14,electricequipment,triveniturbine,TT14
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/trivikramaindustries/CI14,miscellaneous,trivikramaindustries,CI14
https://www.moneycontrol.com/india/stockpricequote/edibleoilssolventextraction/tromboextractions/REL,edibleoilssolventextraction,tromboextractions,REL
https://www.moneycontrol.com/india/stockpricequote/trucapfinance/trucapfinance/DF10,trucapfinance,trucapfinance,DF10
https://www.moneycontrol.com/india/stockpricequote/trading/trywellinternational/TI21,trading,trywellinternational,TI21
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/tslindustries/TSL03,financeinvestments,tslindustries,TSL03
https://www.moneycontrol.com/india/stockpricequote/textileshosieryknitwear/tt/TT06,textileshosieryknitwear,tt,TT06
https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/ttfinance/TTF,financeleasinghirepurchase,ttfinance,TTF
https://www.moneycontrol.com/india/stockpricequote/engineering/ttgindustries/TTG,engineering,ttgindustries,TTG
https://www.moneycontrol.com/india/stockpricequote/financegeneral/ttienterprise/TTI,financegeneral,ttienterprise,TTI
https://www.moneycontrol.com/india/stockpricequote/miscellaneous/ttkbiomed/TTK01,miscellaneous,ttkbiomed,TTK01
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/ttkhealthcare/TTK,pharmaceuticals,ttkhealthcare,TTK
https://www.moneycontrol.com/india/stockpricequote/domesticappliances/ttkprestige/TTK02,domesticappliances,ttkprestige,TTK02
https://www.moneycontrol.com/india/stockpricequote/textilesprocessing/ttlenterprises/TT07,textilesprocessing,ttlenterprises,TT07
https://www.moneycontrol.com/india/stockpricequote/autoancillaries/tubeinvestmentsindialtd/TIIND54076,autoancillaries,tubeinvestmentsindialtd,TIIND54076
https://www.moneycontrol.com/india/stockpricequote/textilesmanmade/tubeknitfashions/TF11,textilesmanmade,tubeknitfashions,TF11
https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/tubetecseamless/TSL02,steelmediumsmall,tubetecseamless,TSL02
https://www.moneycontrol.com/india/stockpricequote/autoancillaries/tudorindia/TI18,autoancillaries,tudorindia,TI18
https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/tulipfinance/TFL02,financeleasinghirepurchase,tulipfinance,TFL02
